OANKGA123 Camry 0 21501  Invalid ID [The first 2 characters must be Alpha (A-Z, letter O is not allowed). ]
A1APP5122 Civic 20 15230.2  Invalid ID [The first 2 characters must be Alpha (A-Z, letter O is not allowed). ]
BG[ZUVABC Mustang 14 50090.5  Invalid ID [Characters 3-6 must be alphanumeric (A-Z, letter O is not allowed). Characters 7-9 characters must be numeric (0-9).]
MK1O7836 GT6 1 134521  Invalid ID [The car ID must be 9 characters long. ]
LP8E\V1599 Corvette 9 70540.8  Invalid ID [The car ID must be 9 characters long. ]
1EZNI;268 Al4 120 25341  Invalid ID [The first 2 characters must be Alpha (A-Z, letter O is not allowed). Characters 3-6 must be alphanumeric (A-Z, letter O is not allowed). ]
PQXGXCA56 Sonata -36 19990.1  Invalid ID [Characters 7-9 characters must be numeric (0-9).] Invalid Quantity [The quantity must be greater than or equal to 0.]
DSN0DG7P5 Outback 75 -26000.7  Invalid ID [Characters 7-9 characters must be numeric (0-9).] Invalid Price [The Price must be greater than $5000.00.]
LLY13M39L Pacifica 90 28000.1  Invalid ID [Characters 7-9 characters must be numeric (0-9).]
CAX9UN74 Model3 30 48200  Invalid ID [The car ID must be 9 characters long. ]
AB’[SDF1234 LXE 1 5000.01  Invalid ID [The car ID must be 9 characters long. ]
PDNKGA123 4Camry 0 21501  Invalid Model [The name must start with a capital letter. ]
AS2QQB593 Cv 20 15230.2  Invalid Model [The model name must be at least 3 characters long. ]
BGYZUV178 i8 14 50090.5  Invalid Model [The model name must be at least 3 characters long. The name must start with a capital letter. ]
MK1Q7U364 GT6 -1 134521  Invalid Quantity [The quantity must be greater than or equal to 0.]
TEZNID268 Altima 120 -25341  Invalid Price [The Price must be greater than $5000.00.]
PQXGXC756 Sonata 36 4999.99  Invalid Price [The Price must be greater than $5000.00.]
oAX9NN745 Model3 30 48200  Invalid ID [The first 2 characters must be Alpha (A-Z, letter O is not allowed). ]
